prb_id,probe_src,dst_addr,hop,hop_from,hop_to,rtt
29455,78.83.80.5,192.203.230.10,4,78.83.80.2,162.158.208.32,10.049
29455,78.83.80.5,192.203.230.10,5,162.158.208.32,162.158.208.43,9.565
29455,78.83.80.5,192.203.230.10,6,162.158.208.43,192.203.230.10,9.521
31906,154.51.81.154,192.203.230.10,1,154.51.81.154,192.168.4.1,0.37
31906,154.51.81.154,192.203.230.10,2,192.168.4.1,*,
31906,154.51.81.154,192.203.230.10,3,192.168.4.1,*,
31906,154.51.81.154,192.203.230.10,4,192.168.4.1,195.66.244.71,6.173
31906,154.51.81.154,192.203.230.10,5,195.66.244.71,162.158.32.11,5.987
31906,154.51.81.154,192.203.230.10,6,162.158.32.11,192.203.230.10,5.731
3548,104.63.137.70,192.203.230.10,1,104.63.137.70,192.168.1.254,2.349
3548,104.63.137.70,192.203.230.10,2,192.168.1.254,192.168.254.254,2.693
3548,104.63.137.70,192.203.230.10,3,192.168.254.254,*,
3548,104.63.137.70,192.203.230.10,4,192.168.254.254,71.149.39.234,4.358
3548,104.63.137.70,192.203.230.10,5,71.149.39.234,32.130.25.36,9.333
3548,104.63.137.70,192.203.230.10,6,32.130.25.36,*,
3548,104.63.137.70,192.203.230.10,7,32.130.25.36,*,
3548,104.63.137.70,192.203.230.10,8,32.130.25.36,32.130.16.255,9.663
3548,104.63.137.70,192.203.230.10,9,32.130.16.255,141.101.74.69,12.542
3548,104.63.137.70,192.203.230.10,10,141.101.74.69,192.203.230.10,11.244
50076,217.235.223.127,192.203.230.10,1,217.235.223.127,10.0.40.1,0.879
50076,217.235.223.127,192.203.230.10,2,10.0.40.1,80.146.128.153,2.271
50076,217.235.223.127,192.203.230.10,3,80.146.128.153,217.5.67.50,6.969
50076,217.235.223.127,192.203.230.10,4,217.5.67.50,80.157.200.214,7.19
50076,217.235.223.127,192.203.230.10,5,80.157.200.214,192.203.230.10,6.857
50241,45.13.104.200,192.203.230.10,1,45.13.104.200,10.0.5.1,0.797
50241,45.13.104.200,192.203.230.10,2,10.0.5.1,80.67.167.8,0.92
50241,45.13.104.200,192.203.230.10,3,80.67.167.8,80.67.167.1,2.329
50241,45.13.104.200,192.203.230.10,4,80.67.167.1,37.49.236.92,5.624
50241,45.13.104.200,192.203.230.10,5,37.49.236.92,192.203.230.10,2.623
50443,77.166.38.69,192.203.230.10,1,77.166.38.69,192.168.2.254,1.131
50443,77.166.38.69,192.203.230.10,2,192.168.2.254,195.190.228.4,4.286
50443,77.166.38.69,192.203.230.10,3,195.190.228.4,193.239.117.66,2.302
50443,77.166.38.69,192.203.230.10,4,193.239.117.66,*,
50443,77.166.38.69,192.203.230.10,5,193.239.117.66,141.101.65.14,7.971
50443,77.166.38.69,192.203.230.10,6,141.101.65.14,192.203.230.10,6.013
51102,192.222.133.47,192.203.230.10,1,192.222.133.47,10.0.145.1,0.894
51102,192.222.133.47,192.203.230.10,2,10.0.145.1,192.222.133.33,11.539
51102,192.222.133.47,192.203.230.10,3,192.222.133.33,10.170.192.53,10.636
51102,192.222.133.47,192.203.230.10,4,10.170.192.53,*,
51102,192.222.133.47,192.203.230.10,5,10.170.192.53,*,
51102,192.222.133.47,192.203.230.10,6,10.170.192.53,192.203.230.10,11.812
51908,176.168.137.227,192.203.230.10,1,176.168.137.227,10.215.10.254,0.977
51908,176.168.137.227,192.203.230.10,2,10.215.10.254,*,
51908,176.168.137.227,192.203.230.10,3,10.215.10.254,*,
51908,176.168.137.227,192.203.230.10,4,10.215.10.254,212.194.170.0,6.658
51908,176.168.137.227,192.203.230.10,5,212.194.170.0,*,
51908,176.168.137.227,192.203.230.10,6,212.194.170.0,162.158.20.22,6.654
51908,176.168.137.227,192.203.230.10,7,162.158.20.22,162.158.20.53,14.746
51908,176.168.137.227,192.203.230.10,8,162.158.20.53,192.203.230.10,6.38
52763,178.199.125.196,192.203.230.10,1,178.199.125.196,192.168.1.1,1.064
52763,178.199.125.196,192.203.230.10,2,192.168.1.1,178.199.124.1,25.479
52763,178.199.125.196,192.203.230.10,3,178.199.124.1,*,
52763,178.199.125.196,192.203.230.10,4,178.199.124.1,193.134.95.206,4.996
52763,178.199.125.196,192.203.230.10,5,193.134.95.206,138.187.129.75,5.603
52763,178.199.125.196,192.203.230.10,6,138.187.129.75,138.187.130.7,6.631
52763,178.199.125.196,192.203.230.10,7,138.187.130.7,194.42.48.46,6.879
52763,178.199.125.196,192.203.230.10,8,194.42.48.46,192.203.230.10,6.884
54181,81.51.79.190,192.203.230.10,1,81.51.79.190,192.168.0.1,1.361
54181,81.51.79.190,192.203.230.10,2,192.168.0.1,80.15.224.225,2.055
54181,81.51.79.190,192.203.230.10,3,80.15.224.225,92.184.150.18,38.642
54181,81.51.79.190,192.203.230.10,4,92.184.150.18,81.253.129.21,4.855
54181,81.51.79.190,192.203.230.10,5,81.253.129.21,81.253.129.58,4.549
54181,81.51.79.190,192.203.230.10,6,81.253.129.58,*,
54181,81.51.79.190,192.203.230.10,7,81.253.129.58,193.251.240.27,8.013
54181,81.51.79.190,192.203.230.10,8,193.251.240.27,193.251.150.166,8.272
54181,81.51.79.190,192.203.230.10,9,193.251.150.166,141.101.67.109,8.107
54181,81.51.79.190,192.203.230.10,10,141.101.67.109,192.203.230.10,8.067
60959,85.166.89.32,192.203.230.10,1,85.166.89.32,88.91.220.1,0.702
60959,85.166.89.32,192.203.230.10,2,88.91.220.1,*,
60959,85.166.89.32,192.203.230.10,3,88.91.220.1,146.172.105.14,1.488
60959,85.166.89.32,192.203.230.10,4,146.172.105.14,185.1.55.26,1.286
60959,85.166.89.32,192.203.230.10,5,185.1.55.26,192.203.230.10,1.399
60995,79.88.105.191,192.203.230.10,1,79.88.105.191,192.168.0.1,0.553
60995,79.88.105.191,192.203.230.10,2,192.168.0.1,10.19.0.1,10.85
60995,79.88.105.191,192.203.230.10,3,10.19.0.1,213.245.253.161,7.771
60995,79.88.105.191,192.203.230.10,4,213.245.253.161,77.154.229.161,15.335
